timestep,junctionid,edge1_vehicle_count,edge2_vehicle_count,edge1_waiting_vehicle_count,edge2_waiting_vehicle_count,edge1_light_state,edge2_light_state,nextswitchtime,edge1_congestion,edge2_congestion
2009,cluster_2455590523_389713_47212064,0,2,0,0,r,r,0.0,Non-Congested,Non-Congested
2009,cluster_2461783448_38980632_5243070374,8,10,5,10,r,y,1.0,Congested,Non-Congested
2009,cluster_2461880040_2461880142_8131892137,2,2,0,0,r,r,3.0,Non-Congested,Congested
2009,cluster_2461880136_4910664147_50607912_8131882097,0,10,0,0,r,G,1.0,Non-Congested,Non-Congested
2010,132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested
2010,47217361,2,0,2,0,G,r,2.0,Non-Congested,Non-Congested
2010,cluster_181310323_5380872437,2,0,0,0,G,r,2.0,Non-Congested,Non-Congested
2010,cluster_2455590523_389713_47212064,0,1,0,0,r,r,0.0,Non-Congested,Congested
2010,cluster_2461783448_38980632_5243070374,8,10,5,10,r,y,0.0,Congested,Non-Congested
2010,cluster_2461880040_2461880142_8131892137,2,2,0,0,r,r,2.0,Non-Congested,Congested
2010,cluster_2461880136_4910664147_50607912_8131882097,0,10,0,0,r,G,0.0,Non-Congested,Non-Congested
2011,132200274,0,5,0,5,r,y,2.0,Non-Congested,Congested
2011,47217361,2,0,2,0,G,r,1.0,Non-Congested,Non-Congested
2011,cluster_181310323_5380872437,2,0,0,0,G,r,1.0,Non-Congested,Non-Congested
2011,cluster_2455590523_389713_47212064,0,2,0,1,r,r,3.0,Non-Congested,Congested
2011,cluster_2461783448_38980632_5243070374,7,10,4,10,G,r,4.0,Congested,Non-Congested
2011,cluster_2461880040_2461880142_8131892137,1,2,0,1,r,r,1.0,Non-Congested,Congested
2011,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,y,2.0,Non-Congested,Non-Congested
2012,132200274,0,5,0,5,r,y,1.0,Non-Congested,Congested
2012,47217361,1,1,1,0,G,r,0.0,Non-Congested,Non-Congested
2012,cluster_181310323_5380872437,2,0,0,0,G,r,0.0,Non-Congested,Non-Congested
2012,cluster_2455590523_389713_47212064,0,2,0,1,r,r,2.0,Non-Congested,Congested
2012,cluster_2461783448_38980632_5243070374,6,11,3,10,G,r,3.0,Congested,Non-Congested
2012,cluster_2461880040_2461880142_8131892137,1,2,0,1,r,r,0.0,Non-Congested,Congested
2012,cluster_2461880136_4910664147_50607912_8131882097,0,10,0,0,r,y,1.0,Non-Congested,Non-Congested
